name,description,exchange,industry,close,SMA10,SMA20,SMA30,SMA50,SMA100,SMA150,SMA200,EMA10,EMA21,high,low,ADRP,ATRP,atr_abs,average_volume_10d_calc,average_volume_30d_calc,dollar_volume_30d,average_dollar_volume_30d,rvol,gap_pct,market_cap_basic,Perf.1M,perf_1m_rank,Perf.3M,perf_3m_rank,Perf.6M,perf_6m_rank,momentum_score,atr_extension_from_50d,sma20_distance_pct,ema21_atr_dist,day_range_atr,lod_atr_pct,bb_width,ma_spread_pct,above_all_mas,ma_aligned,ema_aligned,above_sma200,near_sma20,near_ema,range_tight,adr_tight,bb_tight,plan_tight,wide_day,lod_ok,rvol_ok,rvol_pass,rvol_expand,ma_coiled,earnings_date,earnings_soon,large_gap,hard_rule_passes,hard_rule_fails,tightness_flags,focus_score,tradingview_url,is_top_1m,is_top_3m,is_top_6m
XHLD,"TEN Holdings, Inc.",NASDAQ,Miscellaneous Commercial Services,12.08,10.52,9.87,8.9,6.08,3.78,3.01,2.74,10.55,9.51,12.93,11.01,14.37,12.57,1.52,4460256.6,3789612.2333333334,45778516.0,33738286.0,0.54,-2.81,144687514.12787724,58.32,4,866.4,1,874.19,1,599.64,7.85,22.37,2.15,1.26,70.5,0.454,64.4,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False,False,2026-11-16,False,True,2,"LoD>60% ATR, >4x 50-MA, thin RVOL, large gap",EMA,5,https://www.tradingview.com/chart/?symbol=NASDAQ:XHLD&interval=D,True,True,True
QMCO,Quantum Corporation,NASDAQ,Computer Peripherals,25.97,24.43,24.12,23.73,18.85,14.91,11.88,10.7,24.85,23.63,29.15,24.5,7.17,7.72,2.0,1358276.6,1576119.7333333334,40931829.0,37404474.0,3.43,-0.82,1023477680.7629632,21.87,41,85.5,13,410.22,2,172.53,4.9,7.69,1.29,2.32,73.4,0.175,52.87,True,True,True,True,False,True,False,False,False,True,True,False,True,True,True,False,2026-11-13,False,False,4,"LoD>60% ATR, >4x 50-MA","EMA, near21, RVOL",6,https://www.tradingview.com/chart/?symbol=NASDAQ:QMCO&interval=D,False,True,True
MXL,"MaxLinear, Inc",NASDAQ,Semiconductors,84.32,75.92,69.26,70.19,71.13,81.01,61.88,51.02,77.67,73.42,87.4,81.56,5.92,7.22,6.09,3004515.7,2506159.0,211319327.0,175914819.0,0.67,-0.98,7647249293.088412,31.91,20,-4.31,211,399.23,3,142.28,2.57,21.75,2.06,0.96,45.3,0.525,35.58,True,True,True,True,False,False,True,False,False,False,False,True,False,False,False,False,2026-10-28,False,False,5,thin RVOL,EMA,7,https://www.tradingview.com/chart/?symbol=NASDAQ:MXL&interval=D,True,False,True
ASST,"Strive, Inc.",NASDAQ,Financial Conglomerates,28.99,28.56,26.61,22.86,18.57,16.81,14.84,15.13,28.35,25.83,29.83,28.31,6.73,6.7,1.94,10412900.8,9761620.1,282989367.0,223139247.0,0.57,-2.35,2769222973.869506,54.53,5,123.52,4,189.9,16,122.65,8.38,8.93,1.83,0.78,35.0,0.384,47.31,True,True,True,True,False,False,True,False,False,False,False,True,False,False,False,False,2026-11-13,False,True,3,">4x 50-MA, thin RVOL, large gap",EMA,7,https://www.tradingview.com/chart/?symbol=NASDAQ:ASST&interval=D,True,True,True
TEAM,Atlassian Corporation,NASDAQ,Packaged Software,195.08,189.61,187.33,180.34,150.38,119.73,103.56,111.54,190.11,182.6,196.92,188.97,4.16,4.64,9.05,3331614.2,3883872.6333333333,757665873.0,700416943.0,0.7,0.73,49382319456.54175,15.23,64,146.47,2,191.12,15,117.61,6.41,4.14,1.47,0.88,67.5,0.153,44.11,True,True,True,True,False,True,True,False,False,True,False,False,False,True,False,False,2026-10-29,False,False,4,"LoD>60% ATR, >4x 50-MA","EMA, near21",7,https://www.tradingview.com/chart/?symbol=NASDAQ:TEAM&interval=D,False,True,True
LIFE,Ethos Technologies Inc.,NASDAQ,Packaged Software,33.91,37.63,38.04,36.94,31.24,25.4,21.29,,36.85,36.58,37.49,33.07,8.31,8.12,2.75,1869234.4,1559757.1,52891363.0,57622626.0,0.88,0.03,2162061021.3768997,2.6,145,88.08,12,235.74,7,108.81,1.05,-10.87,0.9,1.6,30.5,0.212,49.41,False,False,False,False,False,True,False,False,False,True,True,True,False,False,False,False,2026-12-02,False,False,4,"thin RVOL, below 200-MA",near21,3,https://www.tradingview.com/chart/?symbol=NASDAQ:LIFE&interval=D,False,True,True
APPS,"Digital Turbine, Inc.",NASDAQ,Packaged Software,11.54,11.5,11.14,11.3,10.75,9.38,7.42,6.81,11.45,11.29,12.28,11.5,6.93,7.19,0.83,2725180.9,2670602.2666666666,30818750.0,30180031.0,0.96,0.41,1396527483.819524,8.05,103,14.31,133,292.52,5,104.96,1.03,3.58,0.31,0.94,4.8,0.22,40.65,True,True,True,True,False,True,True,False,False,True,False,True,False,False,False,False,2026-11-11,False,False,5,thin RVOL,"EMA, near21",8,https://www.tradingview.com/chart/?symbol=NASDAQ:APPS&interval=D,False,False,True
BLZE,"Backblaze, Inc.",NASDAQ,Computer Peripherals,14.06,13.26,13.59,14.97,14.93,12.41,9.55,8.33,13.64,13.99,14.61,13.62,5.53,6.83,0.96,2051601.9,2441762.1333333333,34331176.0,36543819.0,1.35,-0.28,870314033.4293706,-11.63,301,16.83,123,304.02,4,103.07,-0.85,3.44,0.08,1.03,45.8,0.219,46.93,False,False,False,True,False,True,False,False,False,True,True,True,False,False,True,False,2026-11-11,False,False,5,thin RVOL,"near21, RVOL",4,https://www.tradingview.com/chart/?symbol=NASDAQ:BLZE&interval=D,False,False,True
PURR,Hyperliquid Strategies Inc,NASDAQ,Financial Conglomerates,13.94,12.55,12.27,11.08,9.3,8.72,7.59,6.66,12.93,11.96,14.2,13.47,7.69,8.08,1.13,26467995.5,26313776.366666667,366814043.0,291613655.0,0.88,-1.79,3316594732.2222223,27.07,24,73.82,21,195.03,14,98.64,6.17,13.65,2.05,0.65,41.7,0.312,42.22,True,True,True,True,False,False,True,True,False,True,False,True,False,False,False,False,2026-12-02,False,False,4,">4x 50-MA, thin RVOL","EMA, ADR",8,https://www.tradingview.com/chart/?symbol=NASDAQ:PURR&interval=D,False,True,True
OKTA,"Okta, Inc.",NASDAQ,Packaged Software,205.36,186.83,176.29,164.49,156.13,133.91,114.5,108.02,188.04,176.77,207.2,196.0,4.41,4.7,9.65,4543514.8,4164821.3666666667,855287716.0,685084655.0,1.26,0.8,35901189405.91232,53.01,6,72.95,22,169.32,21,98.43,6.71,16.49,3.44,1.16,97.0,0.343,38.38,True,True,True,True,False,False,False,False,False,False,True,False,False,True,True,False,2026-12-08,False,False,4,"LoD>60% ATR, >4x 50-MA","EMA, RVOL",5,https://www.tradingview.com/chart/?symbol=NASDAQ:OKTA&interval=D,True,True,True
